V,4X,4Y,5X,5Y,6X,6Y,7X,7Y,8X,8Y,9X,9Y
-1.6,7272060.270007291,6.964624402830716e-07,6668934.80512946,6.696334204676416e-07,6631239.463574596,6.875242195530515e-07,6480458.0973551385,6.901020496672568e-07,5855343.683236971,6.820879740924679e-07,5808224.50629339,6.792221860429744e-07
-1.4,7262636.434618575,6.970372482117903e-07,6662652.24820365,6.703340940828763e-07,6624956.906648786,6.884130706024391e-07,6467892.983503517,6.911401781243309e-07,5836496.012459539,6.832092486979801e-07,5786235.557053053,6.800567762788748e-07
-1.2,7253212.599229858,6.976191231550016e-07,6646945.855889123,6.709951853940819e-07,6612391.792797164,6.891548683511979e-07,6452186.5911889905,6.919999029376868e-07,5817648.341682106,6.842148874451262e-07,5761105.329349809,6.808135452921126e-07
-1.0,7234364.928452427,6.99096269951321e-07,6624956.906648786,6.724413673065515e-07,6593544.122019731,6.905858963893717e-07,6433338.920411558,6.935888443160117e-07,5792518.113978864,6.860436141342466e-07,5726551.26625785,6.823623829774826e-07
-0.8,7199810.865360468,7.017124222069146e-07,6568413.894316489,6.74724692531316e-07,6552707.502001962,6.922697811461801e-07,6401926.135782504,6.952133550250091e-07,5770529.164738526,6.881756286570587e-07,5710844.873943324,6.848606945249749e-07
-0.6,7146409.131491076,7.061347687160342e-07,6483599.375818044,6.785575334228309e-07,6483599.375818044,6.952270699134444e-07,6342241.844987302,6.982630402122025e-07,5713986.15240623,6.920575358747699e-07,5644878.026222311,6.886387898002141e-07
-0.4,7052170.777603915,7.140355038052377e-07,6339100.566524397,6.855474633406738e-07,6361089.515764735,7.006039802422113e-07,6241720.934174331,7.036439656246647e-07,5629171.633907785,6.988607761430403e-07,5563204.7861867715,6.957521995320516e-07
-0.2,6907671.968310269,7.277663420416136e-07,6112928.517195211,6.981251755065005e-07,6163188.972601697,7.104290903912851e-07,6068950.618714536,7.135041542416171e-07,5478390.267688327,7.111275403920624e-07,5402999.584578598,7.080934315048594e-07
0.0,6684641.197443987,7.5150387459585e-07,5776811.7216643365,7.209013379742354e-07,5830213.455533728,7.282729447227893e-07,5776811.7216643365,7.310318618763107e-07,5236511.8260446135,7.327654801649055e-07,5135990.915231642,7.29738813418111e-07
0.2,6373654.629616356,7.913608019931277e-07,5321326.344543058,7.615444957750073e-07,5305619.952228531,7.603683404194668e-07,5302478.673765627,7.610287240406345e-07,4872123.524347591,7.691692011892252e-07,4746472.385831377,7.66959283786426e-07
